source_node_ID,destination_node_ID
1329906250,4338492043
1329906250,4338442444
1385016997,1385017055
1385016997,4255604522
1385016997,4255604490
1385016997,2654220266
1385017051,9732751170
1385017051,4255604461
1385017051,7996463048
1385017055,1385016997
1385017055,4255604492
1385017055,2654220656
1489911072,9242151165
1489911072,2838529288
1489911072,1801870540
1635718323,11253961574
1635718368,11253961590
1636559147,4249725439
1636758167,8090258360
1636758167,6214671550
1636758167,8086583944
1636758201,84869344
1636758201,10033902861
1636758201,4259619514
1636758221,8054030969
1636758221,10082364625
1636758221,84909934
1636758280,8063958747
1636758299,2838529127
1636758408,8001035854
1636758408,5594000948
1636758408,8001035875
1636758408,2977586310
1636938060,1636938069
1636938060,4249725469
1636938060,3874849751
1636938065,4423995102
1636938065,1636938077
1636938065,1636938069
1636938065,4249725474
1636938069,1636938060
1636938069,6135169164
1636938069,1636938065
1636938077,1636938065
1636938120,4249725469
1637280150,10082349152
1637280150,10082349149
1637280150,10082349139
1637280177,8041384201
1637280177,2977630808
1637280177,4741954094
1637280177,4741954093
1637280177,6492412692
1637280177,4741954086
1637280188,10000759478
1637280190,8064273337
1637280190,8064273336
1637280190,582711202
1637280195,8064273364
1637280233,1637280236
1637280233,3980487881
1637280233,9239245037
1637280236,1637280233
1637280236,9735477262
1637280236,1637280259
1637280249,9239245049
1637280249,1637280254
1637280249,11278436850
1637280249,1637280265
1637280252,9239245024
1637280252,3980487881
1637280252,1637280261
1637280254,9735477242
1637280254,1637280249
1637280254,1637280264
1637280259,1637280261
1637280259,9735477261
1637280259,1637280236
1637280261,1637280259
1637280261,9735477268
1637280261,1637280252
1637280264,9239245048
1637280264,1637280254
1637280264,1637282974
1637280264,9735477242
1637280265,10000823326
1637280265,1637280249
1637280265,10000759479
1637280265,11242817744
1637280273,9239245024
1637280273,8006790588
1637280273,9735477268
1637280273,9461182017
1637280306,7984721626
1637282974,1637280264
1637282974,1637282983
1637282974,1637282975
1637282975,9239245047
1637282975,1637282974
1637282975,1637282982
1637282982,9239245022
1637282982,1637282975
1637282982,1637282992
1637282983,1637282992
1637282983,1637282974
1637282983,11242817744
1637282992,8015328162
1637282992,1637282982
1637282992,1637282983
1637282998,1637283002
1637282998,11242806136
1637282998,9558498057
1637282998,4338557736
1637282998,11242817744
1637283002,1637283005
1637283002,1637282998
1637283002,4338557730
1637283005,1637283002
1637283005,8039948391
1637283005,4338557730
1637283005,8015039890
1637297213,4313709855
1637297213,4249725610
1637297213,1637297221
1637297221,8041384154
